requirement_id,requirement_area,priority,source,acceptance_criterion_ids,test_ids,planned_evidence,status,notes
S2XYZ-REQ-OCR-003,OCR boundary,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#4-image-and-ocr-requirements,AC-003;AC-010;AC-013,T-OCR-003;T-SCOPE-003,"tests/test_ocr_parser.py;tests/test_guardrails_traceability_evidence.py;runs/evidence/S2XYZ-CODEX-003/dependency_inventory.txt;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"Local-only bounded OCR"
S2XYZ-REQ-PAR-001,Parser,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#5-parser-requirements,AC-004,T-PAR-001,"tests/test_ocr_parser.py;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"Exact labels variants ambiguity and order"
S2XYZ-REQ-PAR-002,Parser,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#5-parser-requirements,AC-004,T-PAR-002,"tests/test_ocr_parser.py;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"Signs precision negative zero malformed numbers controls"
S2XYZ-REQ-PAR-003,Parser integrity,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#5-parser-requirements,AC-004,T-PAR-003,"tests/test_ocr_parser.py;runs/evidence/S2XYZ-CODEX-003/raw_ocr_readings.csv;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"Raw preservation and no expected-value access"
S2XYZ-REQ-VAL-001,Validation,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#6-validation-and-classification-requirements,AC-005,T-VAL-001,"tests/test_validation_temporal.py;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"Ranges and mandatory metadata"
S2XYZ-REQ-VAL-002,Classification,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#6-validation-and-classification-requirements,AC-005,T-VAL-002,"tests/test_validation_temporal.py;runs/evidence/S2XYZ-CODEX-003/accepted_points.csv;runs/evidence/S2XYZ-CODEX-003/rejected_readings.csv",Verified,"Accepted only complete valid unique"
S2XYZ-REQ-VAL-003,Scenario vocabulary,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#6-validation-and-classification-requirements,AC-005,T-VAL-003,"tests/test_validation_temporal.py;runs/evidence/S2XYZ-CODEX-003/rejected_readings.csv;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"Stable scenario codes"
S2XYZ-REQ-VAL-004,Precedence,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#6-validation-and-classification-requirements,AC-005,T-VAL-004,"tests/test_validation_temporal.py;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"Short-circuit and deterministic primary/all codes"
S2XYZ-REQ-DED-001,Stale detection,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#6-validation-and-classification-requirements,AC-006,T-DED-001,"tests/test_validation_temporal.py;runs/evidence/S2XYZ-CODEX-003/metrics.json;runs/evidence/S2XYZ-CODEX-003/rejected_readings.csv",Verified,"Sequence-adjacent accepted repeat"
S2XYZ-REQ-DED-002,Duplicate detection,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#6-validation-and-classification-requirements,AC-006,T-DED-002,"tests/test_validation_temporal.py;runs/evidence/S2XYZ-CODEX-003/metrics.json;runs/evidence/S2XYZ-CODEX-003/rejected_readings.csv",Verified,"Non-adjacent earlier accepted match"
S2XYZ-REQ-EXP-001,CSV export,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#7-output-and-review-requirements,AC-007,T-EXP-001,"tests/test_exports_recovery.py;runs/evidence/S2XYZ-CODEX-003/raw_ocr_readings.csv;runs/evidence/S2XYZ-CODEX-003/rejected_readings.csv",Verified,"Exact dialect reversible raw and formula-safe display"
S2XYZ-REQ-EXP-002,CSV schemas,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#7-output-and-review-requirements,AC-007,T-EXP-002,"tests/test_exports_recovery.py;runs/evidence/S2XYZ-CODEX-003/ground_truth.csv;runs/evidence/S2XYZ-CODEX-003/raw_ocr_readings.csv;runs/evidence/S2XYZ-CODEX-003/accepted_points.csv;runs/evidence/S2XYZ-CODEX-003/rejected_readings.csv",Verified,"Schema conformance and expected-value separation"
S2XYZ-REQ-EXP-003,XYZ export,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#7-output-and-review-requirements,AC-008,T-EXP-003,"tests/test_exports_recovery.py;runs/evidence/S2XYZ-CODEX-003/points_source_xyz.txt",Verified,"X longitude Y latitude Z elevation source coordinates"
S2XYZ-REQ-EXP-004,Sidecar,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#7-output-and-review-requirements,AC-008,T-EXP-004,"tests/test_exports_recovery.py;runs/evidence/S2XYZ-CODEX-003/points_source_xyz_metadata.json",Verified,"Exact sidecar schema hash classification limitations"
S2XYZ-REQ-EXP-005,Atomic output,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#7-output-and-review-requirements,AC-009,T-REC-001,"tests/test_exports_recovery.py;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"No partial final or overwrite"
S2XYZ-REQ-REV-001,Review boundary,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#7-output-and-review-requirements,AC-013,T-SCOPE-004,"tests/test_guardrails_traceability_evidence.py;docs/architecture/Screen2XYZ_Architecture_Specification_v0.2.md;runs/reports/Screen2XYZ_Run_S2XYZ-CODEX-003_Report_2026-07-15.md",Verified,"Lab demo only future user confirmation deferred"
S2XYZ-REQ-PRI-001,Privacy,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#8-privacy-recovery-performance-repeatability-and-claims,AC-010,T-PRI-001,"tests/test_guardrails_traceability_evidence.py;runs/evidence/S2XYZ-CODEX-003/environment.json;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"Synthetic-only privacy allowlist"
S2XYZ-REQ-PRI-002,Retention,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#8-privacy-recovery-performance-repeatability-and-claims,AC-010,T-PRI-002,"tests/test_guardrails_traceability_evidence.py;runs/evidence/S2XYZ-CODEX-003/evidence_manifest_sha256.txt",Verified,"Copy-on-write and manifest"
S2XYZ-REQ-REC-001,Recovery,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#8-privacy-recovery-performance-repeatability-and-claims,AC-009,T-REC-002,"tests/test_exports_recovery.py;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"Fail closed and idempotent rerun"
S2XYZ-REQ-REC-002,Contamination response,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#8-privacy-recovery-performance-repeatability-and-claims,AC-010,T-PRI-003,"tests/test_guardrails_traceability_evidence.py;docs/guardrails/Screen2XYZ_Privacy_and_Threat_Review_v0.1.md;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"Stop quarantine escalate"
S2XYZ-REQ-REC-003,Run fatal handling,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#8-privacy-recovery-performance-repeatability-and-claims,AC-005;AC-009,T-REC-003;T-VAL-003,"tests/test_exports_recovery.py;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"Separate run status short-circuit exit codes and vocabulary"
S2XYZ-REQ-PER-001,Performance,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#8-privacy-recovery-performance-repeatability-and-claims,AC-011,T-MET-001,"tests/test_metrics_repeatability.py;runs/evidence/S2XYZ-CODEX-003/metrics.json;runs/evidence/S2XYZ-CODEX-003/raw_ocr_readings.csv",Verified,"Current-machine timing characterization"
S2XYZ-REQ-MET-001,Metrics,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#8-privacy-recovery-performance-repeatability-and-claims,AC-011,T-MET-001;T-MET-002,"tests/test_metrics_repeatability.py;runs/evidence/S2XYZ-CODEX-003/metrics.json",Verified,"Exact 16-key schema formulas denominators units targets and status"
S2XYZ-REQ-REP-001,Repeatability,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#8-privacy-recovery-performance-repeatability-and-claims,AC-012,T-REP-001,"tests/test_metrics_repeatability.py;runs/evidence/S2XYZ-CODEX-003/repeatability_comparison.json;runs/evidence/S2XYZ-CODEX-003/metrics.json",Verified,"Complete deterministic whitelist"
S2XYZ-REQ-CLS-001,Claims,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#8-privacy-recovery-performance-repeatability-and-claims,AC-013,T-SCOPE-005,"tests/test_guardrails_traceability_evidence.py;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"Exact notice and prohibited-claim review"
S2XYZ-REQ-TRC-001,Traceability,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#8-privacy-recovery-performance-repeatability-and-claims,AC-014,T-TRC-001,"tests/test_guardrails_traceability_evidence.py;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"No orphan mandatory requirement"
S2XYZ-REQ-EVD-001,Evidence completeness,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#8-privacy-recovery-performance-repeatability-and-claims,AC-015,T-EVD-001,"tests/test_guardrails_traceability_evidence.py;runs/evidence/S2XYZ-CODEX-003/evidence_manifest_sha256.txt",Verified,"Exact required artifact set"
S2XYZ-REQ-EVD-002,Evidence manifest,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#8-privacy-recovery-performance-repeatability-and-claims,AC-015,T-EVD-002,"tests/test_guardrails_traceability_evidence.py;runs/evidence/S2XYZ-CODEX-003/evidence_manifest_sha256.txt",Verified,"Sorted relative hashes manifest last"
S2XYZ-REQ-EVD-003,Evidence sanitation,Mandatory,docs/requirements/Screen2XYZ_Product_Requirements_v0.1.md#8-privacy-recovery-performance-repeatability-and-claims,AC-015,T-EVD-003,"tests/test_guardrails_traceability_evidence.py;runs/evidence/S2XYZ-CODEX-003/environment.json;runs/evidence/S2XYZ-CODEX-003/dependency_inventory.txt;runs/evidence/S2XYZ-CODEX-003/test_results.txt",Verified,"Privacy-safe versions commands tests and exit codes"
